internal_section_ids,abc_atlas_section_labels,abc_atlas_metadata_exists
1199651136,C57BL6J-638850.69,FALSE
1199651133,C57BL6J-638850.68,FALSE
1199651130,C57BL6J-638850.67,TRUE
1199651127,C57BL6J-638850.66,TRUE
1199651121,C57BL6J-638850.64,TRUE
1199651115,C57BL6J-638850.62,TRUE
1199651112,C57BL6J-638850.61,TRUE
1199651109,C57BL6J-638850.60,TRUE
1199651106,C57BL6J-638850.59,TRUE
1199651103,C57BL6J-638850.58,TRUE
1199651100,C57BL6J-638850.57,TRUE
1199651097,C57BL6J-638850.56,TRUE
1199651094,C57BL6J-638850.55,TRUE
1199651091,C57BL6J-638850.54,TRUE
1199651084,C57BL6J-638850.52,TRUE
1199651081,C57BL6J-638850.51,TRUE
1199651078,C57BL6J-638850.50,TRUE
1199651075,C57BL6J-638850.49,TRUE
1199651072,C57BL6J-638850.48,TRUE
1199651069,C57BL6J-638850.47,TRUE
1199651066,C57BL6J-638850.46,TRUE
1199651063,C57BL6J-638850.45,TRUE
1199651060,C57BL6J-638850.44,TRUE
1199651057,C57BL6J-638850.43,TRUE
1199651054,C57BL6J-638850.42,TRUE
1199651048,C57BL6J-638850.40,TRUE
1199651045,C57BL6J-638850.39,TRUE
1199651042,C57BL6J-638850.38,TRUE
1199651039,C57BL6J-638850.37,TRUE
1199651036,C57BL6J-638850.36,TRUE
1199651033,C57BL6J-638850.35,TRUE
1199651027,C57BL6J-638850.33,TRUE
1199651024,C57BL6J-638850.32,TRUE
1199651021,C57BL6J-638850.31,TRUE
1199651018,C57BL6J-638850.30,TRUE
1199651015,C57BL6J-638850.29,TRUE
1199651012,C57BL6J-638850.28,TRUE
1199651009,C57BL6J-638850.27,TRUE
1199651005,C57BL6J-638850.26,TRUE
1199651002,C57BL6J-638850.25,TRUE
1199650999,C57BL6J-638850.24,TRUE
1199650984,C57BL6J-638850.19,TRUE
1199650981,C57BL6J-638850.18,TRUE
1199650978,C57BL6J-638850.17,TRUE
1199650975,C57BL6J-638850.16,TRUE
1199650972,C57BL6J-638850.15,TRUE
1199650968,C57BL6J-638850.14,TRUE
1199650965,C57BL6J-638850.13,TRUE
1199650962,C57BL6J-638850.12,TRUE
1199650959,C57BL6J-638850.11,TRUE
1199650956,C57BL6J-638850.10,TRUE
1199650953,C57BL6J-638850.09,TRUE
1199650950,C57BL6J-638850.08,TRUE
1199650944,C57BL6J-638850.06,TRUE
1199650941,C57BL6J-638850.05,TRUE
1199650938,C57BL6J-638850.04,FALSE
1199650935,C57BL6J-638850.03,FALSE
1199650932,C57BL6J-638850.02,FALSE
1199650929,C57BL6J-638850.01,FALSE
