,z_section,brain_section_label,z_reconstructed,section_index
0,0.8,C57BL6J-638850.05,0.8,4
1,1.0,C57BL6J-638850.06,1.0,5
2,1.4,C57BL6J-638850.08,1.4,7
3,1.6,C57BL6J-638850.09,1.6,8
4,1.8,C57BL6J-638850.10,1.8,9
5,2.0,C57BL6J-638850.11,2.0,10
6,2.2,C57BL6J-638850.12,2.2,11
7,2.4,C57BL6J-638850.13,2.4,12
8,2.6,C57BL6J-638850.14,2.6,13
9,2.8,C57BL6J-638850.15,2.8,14
10,3.0,C57BL6J-638850.16,3.0,15
11,3.2,C57BL6J-638850.17,3.2,16
12,3.4,C57BL6J-638850.18,3.4,17
13,3.6,C57BL6J-638850.19,3.6,18
14,3.8,C57BL6J-638850.24,3.8,19
15,4.0,C57BL6J-638850.25,4.0,20
16,4.2,C57BL6J-638850.26,4.2,21
17,4.4,C57BL6J-638850.27,4.4,22
18,4.6,C57BL6J-638850.28,4.6,23
19,4.8,C57BL6J-638850.29,4.8,24
20,5.0,C57BL6J-638850.30,5.0,25
21,5.4,C57BL6J-638850.31,5.4,27
22,5.6,C57BL6J-638850.32,5.6,28
23,5.8,C57BL6J-638850.33,5.8,29
24,6.2,C57BL6J-638850.35,6.2,31
25,6.4,C57BL6J-638850.36,6.4,32
26,6.6,C57BL6J-638850.37,6.6,33
27,6.8,C57BL6J-638850.38,6.8,34
28,7.0,C57BL6J-638850.39,7.0,35
29,7.2,C57BL6J-638850.40,7.2,36
30,7.6,C57BL6J-638850.42,7.6,38
31,7.8,C57BL6J-638850.43,7.8,39
32,8.0,C57BL6J-638850.44,8.0,40
33,8.2,C57BL6J-638850.45,8.2,41
34,8.4,C57BL6J-638850.46,8.4,42
35,8.8,C57BL6J-638850.47,8.8,44
36,9.0,C57BL6J-638850.48,9.0,45
37,9.2,C57BL6J-638850.49,9.2,46
38,9.4,C57BL6J-638850.50,9.4,47
39,9.6,C57BL6J-638850.51,9.6,48
40,9.8,C57BL6J-638850.52,9.8,49
41,10.2,C57BL6J-638850.54,10.2,51
42,10.4,C57BL6J-638850.55,10.4,52
43,10.8,C57BL6J-638850.56,10.8,54
44,11.0,C57BL6J-638850.57,11.0,55
45,11.2,C57BL6J-638850.58,11.2,56
46,11.4,C57BL6J-638850.59,11.4,57
47,11.8,C57BL6J-638850.60,11.8,59
48,12.0,C57BL6J-638850.61,12.0,60
49,12.2,C57BL6J-638850.62,12.2,61
50,13.0,C57BL6J-638850.64,13.0,65
51,13.8,C57BL6J-638850.66,13.8,69
52,14.2,C57BL6J-638850.67,14.2,71
