,063 MH Tac2 Glut,064 LH Pou4f1 Sox1 Glut,065 AD Serpinb7 Glut,066 AV Col27a1 Glut,067 PVT-PT Ntrk1 Glut,068 CM-IAD-CL-PCN Glut,069 TH Prkcd Grin2c Glut,070 RE-Xi Nox4 Glut,071 MG-POL-SGN Glut,072 PF Fzd5 Glut,081 RT ZI Gnb3 Gaba,111 ZI Pax6 Gaba,126 LGv Otx2 Gaba,159 SPA-SPFm-SPFp-POL-PIL-PoT Glut,214 LGv-SPFp-SPFm Gata3 Gaba
063 MH Tac2 Glut,0.0,4.232818926491402,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049
064 LH Pou4f1 Sox1 Glut,4.232818926491402,0.0,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,6.722357125251299,4.653507531027049,4.653507531027049,6.722357125251299,5.643084406705184,4.922532914343422,4.653507531027049
065 AD Serpinb7 Glut,4.653507531027049,4.653507531027049,0.0,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,6.521479478056515,6.314723651910258,4.653507531027049,4.653507531027049,4.653507531027049,6.722357125251299,6.314723651910258,4.653507531027049
066 AV Col27a1 Glut,4.653507531027049,4.653507531027049,4.653507531027049,0.0,4.653507531027049,4.653507531027049,4.790278541821482,5.973643461011661,6.190844103272845,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049
067 PVT-PT Ntrk1 Glut,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,0.0,2.274902865108636,4.073692641846507,3.7443035626480623,4.643285125161183,5.329961802582104,4.653507531027049,4.653507531027049,4.653507531027049,4.120313483601167,4.653507531027049
068 CM-IAD-CL-PCN Glut,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,2.274902865108636,0.0,2.933433986888175,4.364820602911655,4.209643332414884,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.884926670200036,4.653507531027049
069 TH Prkcd Grin2c Glut,4.653507531027049,4.653507531027049,4.653507531027049,4.790278541821482,4.073692641846507,2.933433986888175,0.0,3.3387203120568762,3.2994180499989234,4.910587982287246,4.653507531027049,4.653507531027049,4.653507531027049,5.34759176362111,4.653507531027049
070 RE-Xi Nox4 Glut,4.653507531027049,4.653507531027049,6.521479478056515,5.973643461011661,3.7443035626480623,4.364820602911655,3.3387203120568762,0.0,4.3582272592202695,4.349714787064926,4.653507531027049,4.653507531027049,4.653507531027049,3.581550002491598,4.653507531027049
071 MG-POL-SGN Glut,4.653507531027049,6.722357125251299,6.314723651910258,6.190844103272845,4.643285125161183,4.209643332414884,3.2994180499989234,4.3582272592202695,0.0,5.495329006987753,4.653507531027049,5.808853434687431,4.653507531027049,3.2640846575212277,4.653507531027049
072 PF Fzd5 Glut,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,5.329961802582104,4.653507531027049,4.910587982287246,4.349714787064926,5.495329006987753,0.0,4.653507531027049,4.653507531027049,6.190844103272845,3.705512564082614,6.064651974529896
081 RT ZI Gnb3 Gaba,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,0.0,3.5446978295156293,5.973643461011662,5.285353619442552,4.653507531027049
111 ZI Pax6 Gaba,4.653507531027049,6.722357125251299,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,5.808853434687431,4.653507531027049,3.5446978295156293,0.0,2.854633766333076,3.6889761398796326,4.271899783887381
126 LGv Otx2 Gaba,4.653507531027049,5.643084406705184,6.722357125251299,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,6.190844103272845,5.973643461011662,2.854633766333076,0.0,4.48858743678622,5.495329006987753
159 SPA-SPFm-SPFp-POL-PIL-PoT Glut,4.653507531027049,4.922532914343422,6.314723651910258,4.653507531027049,4.120313483601167,4.884926670200036,5.34759176362111,3.581550002491598,3.2640846575212277,3.705512564082614,5.285353619442552,3.6889761398796326,4.48858743678622,0.0,4.770949380507547
214 LGv-SPFp-SPFm Gata3 Gaba,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,6.064651974529896,4.653507531027049,4.271899783887381,5.495329006987753,4.770949380507547,0.0
