,257 AD Serpinb7 Glut,258 AV Col27a1 Glut,270 TH Prkcd Grin2c Glut_1,271 TH Prkcd Grin2c Glut_10,272 TH Prkcd Grin2c Glut_11,273 TH Prkcd Grin2c Glut_12,274 TH Prkcd Grin2c Glut_13,275 TH Prkcd Grin2c Glut_14,276 TH Prkcd Grin2c Glut_2,277 TH Prkcd Grin2c Glut_3,278 TH Prkcd Grin2c Glut_4,279 TH Prkcd Grin2c Glut_5,280 TH Prkcd Grin2c Glut_6,281 TH Prkcd Grin2c Glut_7,282 TH Prkcd Grin2c Glut_8,283 TH Prkcd Grin2c Glut_9,63_MH Tac2 Glut,64_LH Pou4f1 Sox1 Glut,67_PVT-PT Ntrk1 Glut,68_CM-IAD-CL-PCN Glut,70_RE-Xi Nox4 Glut,71_MG-POL-SGN Glut,72_PF Fzd5 Glut
257 AD Serpinb7 Glut,0.0,5.143272747381774,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.894715408519481,5.488654884980694,5.697953227523568,3.710141928399784,6.190844103272845,5.545836349650596,3.616047251879166,3.4080774862305323,5.0083049987149595,4.653507531027049,6.722357125251299,4.653507531027049,4.8151874169177855,4.460555384564663,4.066115482087963,6.722357125251299
258 AV Col27a1 Glut,5.143272747381774,0.0,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,5.586799028824407,4.254237443647761,4.630273202667745,5.763022895086774,3.0535818520822953,5.825591461389797,4.653507531027049,3.4858635641767783,3.2122627937752553,3.2667350966772943,4.653507531027049,4.653507531027049,6.521479478056515,5.143272747381774,4.698789449515773,4.982882147662235,4.653507531027049
270 TH Prkcd Grin2c Glut_1,4.653507531027049,4.653507531027049,0.0,4.332760968382089,4.172719805217476,5.973643461011662,3.2313050308251525,3.6789567338783487,1.4731276877967534,2.421215492520306,1.902543142113964,4.218353454756513,3.4909140070024653,3.5617639809603316,3.672825880177674,6.401281166895572,4.653507531027049,4.653507531027049,4.653507531027049,6.722357125251299,4.653507531027049,6.101555149236272,4.653507531027049
271 TH Prkcd Grin2c Glut_10,4.653507531027049,4.653507531027049,4.332760968382089,0.0,2.324653601690954,1.8929574144004149,3.7164889205648715,1.6164208659127064,3.339180714635473,2.5926964627642,1.363262174666293,3.4472566936653184,1.5193345935719729,1.4830004144299744,1.847788952695079,3.317248214034547,4.653507531027049,4.653507531027049,4.545591698855592,2.632414224595608,2.6511440489135736,2.927850260991622,5.132850497765083
272 TH Prkcd Grin2c Glut_11,4.653507531027049,4.653507531027049,4.172719805217476,2.324653601690954,0.0,5.17346579957584,3.789592071687618,1.4454843366209853,3.180044066720748,2.077525551142148,1.3969099447645097,3.3481716495131613,1.2559077517888717,1.523248139784258,1.9241616711217098,3.134341418081261,4.653507531027049,4.653507531027049,4.558827134640875,3.0682248016360383,1.7795255851751277,2.2331545544579274,3.92612602401284
273 TH Prkcd Grin2c Glut_12,4.653507531027049,4.653507531027049,5.973643461011662,1.8929574144004149,5.17346579957584,0.0,4.939552770334367,2.0801152951091453,4.647188132955547,3.445392401258588,2.009727654765072,4.489133633554964,2.661466765206911,1.7998238578235568,1.7724593145647236,3.3311742810982765,4.653507531027049,4.653507531027049,4.150911145836848,1.97359657605911,2.168045957220548,2.664325821216988,5.400865354242989
274 TH Prkcd Grin2c Glut_13,4.653507531027049,5.586799028824407,3.2313050308251525,3.7164889205648715,3.789592071687618,4.939552770334367,0.0,1.9198501109328256,2.6267828172292114,2.69960315368937,1.659443264982671,3.5662618038483975,2.998167051800864,2.186939818670083,1.8470650428491384,2.4989341817160375,4.653507531027049,4.653507531027049,5.5955844137315,2.784107487612175,3.140278853645191,3.5594864177907586,5.130287940113882
275 TH Prkcd Grin2c Glut_14,4.894715408519481,4.254237443647761,3.6789567338783487,1.6164208659127064,1.4454843366209853,2.0801152951091453,1.9198501109328256,0.0,5.86173760775533,3.5920688460818786,2.1820894208982495,2.439953823633395,2.0207155334274938,3.1157281840128177,2.7770776761505584,3.00304829749732,4.653507531027049,4.653507531027049,3.324507955022151,3.124783896086209,4.21865667467736,4.913541500339874,6.401281166895572
276 TH Prkcd Grin2c Glut_2,5.488654884980694,4.630273202667745,1.4731276877967534,3.339180714635473,3.180044066720748,4.647188132955547,2.6267828172292114,5.86173760775533,0.0,3.1133640938164113,2.4867653808904957,2.3898136313645773,2.861958115490163,3.8734281497867578,5.545836349650596,5.427865032800609,4.653507531027049,4.653507531027049,6.722357125251299,6.190844103272845,4.653507531027049,4.653507531027049,6.521479478056515
277 TH Prkcd Grin2c Glut_3,5.697953227523568,5.763022895086774,2.421215492520306,2.5926964627642,2.077525551142148,3.445392401258588,2.69960315368937,3.5920688460818786,3.1133640938164113,0.0,1.671713422826218,2.763914222248403,2.175549996952793,1.774654002055187,3.419768806579711,4.3834577714747205,4.653507531027049,4.653507531027049,5.0800234062052505,5.4335104269752765,5.3855632073826145,3.1252726549196255,4.653507531027049
278 TH Prkcd Grin2c Glut_4,3.710141928399784,3.0535818520822953,1.902543142113964,1.363262174666293,1.3969099447645097,2.009727654765072,1.659443264982671,2.1820894208982495,2.4867653808904957,1.671713422826218,0.0,1.6666696103367327,1.0401843668108979,2.685854865675385,3.63048995671537,2.444583582709011,4.653507531027049,6.190844103272845,3.3555222712198005,3.0599961491748404,2.970956122902438,3.1634732808565027,4.145675088902234
279 TH Prkcd Grin2c Glut_5,6.190844103272845,5.825591461389797,4.218353454756513,3.4472566936653184,3.3481716495131613,4.489133633554964,3.5662618038483975,2.439953823633395,2.3898136313645773,2.763914222248403,1.6666696103367327,0.0,2.540305718170413,1.7407262400951993,2.313447907526546,4.143596479426401,4.653507531027049,4.653507531027049,6.031466402805816,4.440502683071503,3.138612453289955,3.162608521497698,5.375701319590354
280 TH Prkcd Grin2c Glut_6,5.545836349650596,4.653507531027049,3.4909140070024653,1.5193345935719729,1.2559077517888717,2.661466765206911,2.998167051800864,2.0207155334274938,2.861958115490163,2.175549996952793,1.0401843668108979,2.540305718170413,0.0,1.2604364683861182,2.4604015974534468,4.972461442847128,6.722357125251299,4.653507531027049,4.106429520604816,3.5958293100617897,2.6908425808042256,2.7477485798169186,4.282200627887237
281 TH Prkcd Grin2c Glut_7,3.616047251879166,3.4858635641767783,3.5617639809603316,1.4830004144299744,1.523248139784258,1.7998238578235568,2.186939818670083,3.1157281840128177,3.8734281497867578,1.774654002055187,2.685854865675385,1.7407262400951993,1.2604364683861182,0.0,2.142011016172986,2.5030148935790746,4.653507531027049,5.416827201262267,2.8481928915801373,2.5266703402310884,2.928636500090401,2.757575489666051,4.441976006171139
282 TH Prkcd Grin2c Glut_8,3.4080774862305323,3.2122627937752553,3.672825880177674,1.847788952695079,1.9241616711217098,1.7724593145647236,1.8470650428491384,2.7770776761505584,5.545836349650596,3.419768806579711,3.63048995671537,2.313447907526546,2.4604015974534468,2.142011016172986,0.0,2.576892730223588,4.653507531027049,5.203123259051373,2.3850383628565974,1.7334225642583014,3.2614962773011755,2.92396262854485,4.871336564255173
283 TH Prkcd Grin2c Glut_9,5.0083049987149595,3.2667350966772943,6.401281166895572,3.317248214034547,3.134341418081261,3.3311742810982765,2.4989341817160375,3.00304829749732,5.427865032800609,4.3834577714747205,2.444583582709011,4.143596479426401,4.972461442847128,2.5030148935790746,2.576892730223588,0.0,4.653507531027049,4.653507531027049,4.593432377362864,3.6815755479257106,3.0679637487833165,4.225377080082914,4.653507531027049
63_MH Tac2 Glut,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,6.722357125251299,4.653507531027049,4.653507531027049,4.653507531027049,0.0,3.8805678867453617,5.973643461011662,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049
64_LH Pou4f1 Sox1 Glut,6.722357125251299,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,4.653507531027049,6.190844103272845,4.653507531027049,4.653507531027049,5.416827201262267,5.203123259051373,4.653507531027049,3.8805678867453617,0.0,5.153982051971534,4.653507531027049,4.419429220852554,3.9467693607819547,6.064651974529896
67_PVT-PT Ntrk1 Glut,4.653507531027049,6.521479478056515,4.653507531027049,4.545591698855592,4.558827134640875,4.150911145836848,5.5955844137315,3.324507955022151,6.722357125251299,5.0800234062052505,3.3555222712198005,6.031466402805816,4.106429520604816,2.8481928915801373,2.3850383628565974,4.593432377362864,5.973643461011662,5.153982051971534,0.0,1.8866552116339057,2.274050105523042,2.5681230726592066,4.0346332343477895
68_CM-IAD-CL-PCN Glut,4.8151874169177855,5.143272747381774,6.722357125251299,2.632414224595608,3.0682248016360383,1.97359657605911,2.784107487612175,3.124783896086209,6.190844103272845,5.4335104269752765,3.0599961491748404,4.440502683071503,3.5958293100617897,2.5266703402310884,1.7334225642583014,3.6815755479257106,4.653507531027049,4.653507531027049,1.8866552116339057,0.0,3.372750751926712,3.074258073027206,5.792891556353878
70_RE-Xi Nox4 Glut,4.460555384564663,4.698789449515773,4.653507531027049,2.6511440489135736,1.7795255851751277,2.168045957220548,3.140278853645191,4.21865667467736,4.653507531027049,5.3855632073826145,2.970956122902438,3.138612453289955,2.6908425808042256,2.928636500090401,3.2614962773011755,3.0679637487833165,4.653507531027049,4.419429220852554,2.274050105523042,3.372750751926712,0.0,3.1926516844247157,3.69561638453482
71_MG-POL-SGN Glut,4.066115482087963,4.982882147662235,6.101555149236272,2.927850260991622,2.2331545544579274,2.664325821216988,3.5594864177907586,4.913541500339874,4.653507531027049,3.1252726549196255,3.1634732808565027,3.162608521497698,2.7477485798169186,2.757575489666051,2.92396262854485,4.225377080082914,4.653507531027049,3.9467693607819547,2.5681230726592066,3.074258073027206,3.1926516844247157,0.0,4.022539952295084
72_PF Fzd5 Glut,6.722357125251299,4.653507531027049,4.653507531027049,5.132850497765083,3.92612602401284,5.400865354242989,5.130287940113882,6.401281166895572,6.521479478056515,4.653507531027049,4.145675088902234,5.375701319590354,4.282200627887237,4.441976006171139,4.871336564255173,4.653507531027049,4.653507531027049,6.064651974529896,4.0346332343477895,5.792891556353878,3.69561638453482,4.022539952295084,0.0
